"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SEMA5A",94.7143345091401,0.554288748006212,0.331753271043916,1.67078608226545,0.094763938545631,0.126351918060841
"HYDIN",18.0778749350709,0.97100757214315,0.579179111145359,1.67652381354522,0.0936356357414729,0.126351918060841
"CHRNE",19.6349661316972,0.89639986495914,0.567577061027758,1.5793447736171,0.114256997295601,0.151222496420648
"ACTL6B",41.0771851892783,0.64469523513755,0.438986399440197,1.46859956472382,0.141941432997335,0.185756696483206
"CLYBL",105.925197702181,0.541280045912724,0.369005309671757,1.46686248605531,0.142413467303791,0.185756696483206
"EXOC3-AS1",64.2077666185835,-0.546434807717317,0.384176205903977,-1.42235463654377,0.154923325184101,0.20062013333193
"CHST8",105.215524230983,0.473669514844508,0.33956459599346,1.39493198181836,0.163036351738391,0.209618166520788
"CRISPLD2",31.3137628064004,0.825259554082825,0.619100431177062,1.33299786678198,0.182532503851398,0.233020217682636
"FBXO34",604.021048556122,-0.283518099438944,0.218758354815917,-1.29603324031908,0.19496403313925,0.247137506796232
"ZHX3",786.925348231176,-0.27344860443828,0.213494434285222,-1.28082310601578,0.200255806228212,0.251535522372362
"OR7M1P",2.46276660670507,-1.96311535746987,1.53601239062977,-1.27805958431428,0.20122841789789,0.251535522372362
"RNF144A",641.360438509472,0.305242538398429,0.242285746117136,1.25984521702262,0.207725204458915,0.257865771052447
"VPS13C",1357.63672107175,-0.380506970216972,0.305334383249978,-1.24619758235826,0.212691866432156,0.262222849025946
"DHPS",878.06181565911,-0.245432256246636,0.215218679947856,-1.14038547353836,0.254125742128372,0.311174378116374
"FAM90A1",12.3483685226407,0.744062044025216,0.660979871761292,1.12569546488993,0.260294444019543,0.316574323807552
"VPS13A",1989.90184689747,-0.376883133857118,0.337100376123073,-1.11801457533682,0.263560768391864,0.318395559131111
"MCEE",46.9578402859394,-0.447342853451321,0.406382683344518,-1.10079211488468,0.270987144340522,0.325184573208626
"MIR4659A",2.18318519829412,-1.79534624635424,1.67747948826531,-1.07026420228293,0.284500402823794,0.339139553034986
"FBXO36",207.358485618827,-0.263437567961387,0.250672576086329,-1.05092296921488,0.293293970089493,0.347321806684926
"SNORD121A",1.98214104050859,-1.9638431791735,2.19296212821858,-0.895520790762037,0.370508756877385,0.435892655149865
"GLUD1P2",6.37330769263933,0.793250334460685,0.893747637925332,0.887555167476658,0.374780078591111,0.438054637314285
"FBXO30",433.29760593387,-0.299631542751438,0.348634087553337,-0.859444195070564,0.390095495683947,0.453014124020068
"IGF2R",3837.99130424178,0.173187586012327,0.205591272943612,0.842387828688759,0.399570903598098,0.461043350305498
"RNF144B",17.0117383505556,0.461798214650991,0.579959186849371,0.796259849179579,0.42588101746964,0.48827123021997
"RPL36AP15",2.46306350224798,-1.10252585625425,1.41534692489207,-0.778979228953586,0.435991950430279,0.496699690363609
"BNC2-AS1",8.36762496879229,-0.705026329490267,0.952345346300169,-0.740305323304483,0.459114751622724,0.519102371871902
"SNORA59B",4.01539424114309,0.820515869187887,1.11406918623008,0.73650351282441,0.461424330552802,0.519102371871902
"HUNK",96.5879680702348,-0.220299235530938,0.313683417766932,-0.702297995537084,0.48249334306021,0.53943355124744
"VPS13D",1474.35346245532,-0.17741188992665,0.25522355244428,-0.695123503405438,0.486977906576806,0.541086562863118
"MC1R",118.785794176025,-0.230796066715809,0.363048413597087,-0.63571705059686,0.524960861015864,0.579711380262918
"CHCHD10",2.77995268237044,-0.757636593883779,1.30827767486757,-0.579109930894806,0.562514999576876,0.609956023637577
"SCN11A",2.31352277581365,-1.07697111922975,1.85646554259451,-0.580119099719259,0.561834304497987,0.609956023637577
"RBMS1P1",6.5286888672665,-0.510158889605641,0.873423827071057,-0.58409087752553,0.559159172006898,0.609956023637577
"PPIP5K1",416.201206862475,-0.144773430131639,0.260135314409012,-0.556531243981778,0.577847741689162,0.622829901221851
"MC5R",3.24533963353897,0.60125006644817,1.31361665170879,0.457705880681436,0.64716376252416,0.6933897455616
"HTR7",3.78694794226749,-0.373269926145414,1.10418130506852,-0.338051300481173,0.735324528835212,0.783185888700226
"ZNF559-ZNF177",3.04346970947762,-0.41658526192291,1.29205069069142,-0.322421763266875,0.747133199109479,0.791082210821801
"ZNF350-AS1",6.28169504012811,-0.271526205507133,0.966554920690279,-0.28092165245325,0.778770492858651,0.819758413535422
"C3orf18",389.86562801114,-0.0546755770123064,0.224756810226645,-0.24326549641442,0.80779973150893,0.84537181204423
"IL2RB",1.96933910712961,0.383039181553523,1.63146038102969,0.234783011593435,0.814377154012697,0.847328830764656
"PEX5L",1.96867868310487,-0.328879161037141,1.63848762260218,-0.200721175125406,0.840916601316748,0.869913725500084
"SNORA50A",3.10258616764189,-0.283211113624468,1.55044808927367,-0.182664041178665,0.85506163197254,0.879491964314612
"IGHV2OR16-5",1.94234028166927,-0.252292355832065,1.4742572389476,-0.171131841287185,0.864120099438754,0.883759192607816
"HERC2P10",8.78456429437865,-0.120446298293575,0.765492653056429,-0.157344812928853,0.874973104469064,0.889803157087184
"IL36G",1.92308209982478,-0.163676205136482,1.76708402137307,-0.092625026969177,0.926201460570055,0.936608218553988
"IL2RG",2.24154935134072,0.100916924154244,1.42204277668776,0.0709661662846042,0.943424682967516,0.948695211922642
"SNORA59A",2.08264107498523,-0.00468283130211982,1.57743007928962,-0.00296864587762183,0.997631366766827,0.997631366766827
"COL13A1",1.79311424880493,0.265555975884914,1.80289487869462,0.147294209453404,0.882899802816645,NA
"DCLRE1CP1",0.582524373768559,0.700362905925327,2.94375962960388,0.237914433937519,0.811947460248151,NA
"HTR1B",0.391319213665569,-2.49175155405933,4.04697889929565,-0.615706584112165,0.538088191022739,NA
"HTR2B",0.391319213665569,-2.49175155405933,4.04697889929565,-0.615706584112165,0.538088191022739,NA
"HCFC1-AS1",0.645454667110099,-0.646401438252062,3.14813821515511,-0.205328163528618,0.837315741481663,NA
"HTR3C",1.34792743831776,2.33974442204747,2.31894885725307,1.00896766857508,0.312990140140826,NA
"HTR3D",0.9184847739173,0.385801568097537,2.52622745715374,0.152718460487408,0.878620302174521,NA
"HTR3B",1.13258269999849,-1.69433228419872,2.18248739236377,-0.776330846229379,0.437553664552059,NA
"HTR5A",0.600695744453173,0.727541016034746,2.91591469810005,0.2495069614035,0.802968656729413,NA
"RN7SL559P",0.626622872400748,-3.15844211078711,3.11555654204591,-1.01376497847574,0.31069491010367,NA
"MIR6129",0.239975014262313,1.05037644550666,4.04475206470494,0.259688709889633,0.795103902147048,NA
"RN7SL558P",1.1475630017768,-0.315370155256626,1.98160576908407,-0.159148787401036,0.87355165122281,NA
"HTRA3",0.974060496231468,3.0657371363272,2.65338332475104,1.15540679996353,0.247923878596746,NA
"HULC",1.27694325972867,-2.08380721590532,2.24553590096914,-0.927977688981048,0.353419142999656,NA
"RNU6-646P",1.46342702453808,2.44990660585307,2.05082117822149,1.19459786736632,0.232244182883405,NA
"SCN10A",0.913909998308202,0.278426798987383,2.17254884252903,0.128156750051829,0.898024926215615,NA
"RN7SL574P",1.12552502451403,3.27129284069424,2.25703811156768,1.44937421478545,0.147233105578634,NA
"RNU6-667P",0.626622872400748,-3.15844211078711,3.11555654204591,-1.01376497847574,0.31069491010367,NA
"HERC2P11",1.21311906797965,0.833026483468408,1.97518624531132,0.421745790021493,0.673210577932882,NA
"DIO1",0.734843690766547,1.1637811856816,2.5020634210435,0.465128571839415,0.641839386142713,NA
